participant,system,image_path,target_image_id,rating,total,correct,accuracy
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,target2,6.0,19,15,0.7894736842105263
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,target2,4.0,19,12,0.631578947368421
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,target2,5.0,19,13,0.6842105263157895
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,target1,3.0,19,14,0.7368421052631579
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,target1,6.0,19,16,0.8421052631578947
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,target1,4.0,19,14,0.7368421052631579
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,target1,4.0,19,16,0.8421052631578947
P1,system2,./output/P1/2025-08-24_12-10-24/image.png,target1,4.0,19,16,0.8421052631578947
P10,system1,./output/P10/2025-08-21_09-44-58/image.png,target2,6.0,19,14,0.7368421052631579
P10,system1,./output/P10/2025-08-21_09-47-50/image.png,target2,5.0,19,13,0.6842105263157895
P10,system2,./output/P10/2025-08-21_10-05-34/image.png,target1,5.0,19,11,0.5789473684210527
P10,system2,./output/P10/2025-08-21_10-08-07/image.png,target1,4.0,19,14,0.7368421052631579
P10,system2,./output/P10/2025-08-21_10-10-09/image.png,target1,4.0,19,14,0.7368421052631579
P11,system1,./output/P11/2025-08-23_09-29-27/image.png,target1,2.0,19,14,0.7368421052631579
P11,system1,./output/P11/2025-08-23_09-33-03/image.png,target1,1.0,19,13,0.6842105263157895
P11,system1,./output/P11/2025-08-23_09-36-41/image.png,target1,1.0,19,13,0.6842105263157895
P11,system1,./output/P11/2025-08-23_09-41-28/image.png,target1,3.0,19,13,0.6842105263157895
P11,system2,./output/P11/2025-08-23_09-06-01/image.png,target2,5.0,19,14,0.7368421052631579
P11,system2,./output/P11/2025-08-23_09-10-57/image.png,target2,6.0,19,13,0.6842105263157895
P11,system2,./output/P11/2025-08-23_09-13-36/image.png,target2,1.0,19,13,0.6842105263157895
P11,system2,./output/P11/2025-08-23_09-14-44/image.png,target2,1.0,19,12,0.631578947368421
P12,system1,./output/P12/2025-08-22_02-15-34/image.png,target2,3.0,19,11,0.5789473684210527
P12,system1,./output/P12/2025-08-22_02-19-59/image.png,target2,3.0,19,9,0.47368421052631576
