,participant,system,progress,accuracy
0,P1,system1,1,0.7741935483870968
1,P1,system2,1,0.6551724137931034
2,P1,system2,2,0.8275862068965517
3,P11,system2,1,0.6774193548387096
4,P11,system2,2,0.7096774193548387
5,P11,system2,3,0.7741935483870968
6,P11,system1,1,0.7586206896551724
7,P11,system1,2,0.8620689655172413
8,P11,system1,3,0.896551724137931
9,P12,system2,1,0.6206896551724138
10,P12,system2,2,0.7931034482758621
11,P12,system1,1,0.5483870967741935
12,P12,system1,2,0.5806451612903226
13,P3,system1,1,0.6896551724137931
14,P3,system2,1,0.7419354838709677
15,P4,system1,1,0.6896551724137931
16,P4,system1,2,0.6896551724137931
17,P4,system1,3,0.7586206896551724
18,P4,system2,1,0.6774193548387096
19,P4,system2,2,0.8064516129032258
20,P5,system2,1,0.0967741935483871
21,P5,system2,2,0.16129032258064516
22,P5,system2,3,0.1935483870967742
23,P5,system2,4,0.1935483870967742
24,P5,system2,5,0.2903225806451613
25,P5,system2,6,0.3548387096774194
26,P5,system2,7,0.5161290322580645
27,P5,system2,8,0.5483870967741935
28,P5,system1,1,0.20689655172413793
29,P5,system1,2,0.2413793103448276
30,P5,system1,3,0.3103448275862069
31,P5,system1,4,0.6551724137931034
32,P5,system1,5,0.6551724137931034
33,P5,system1,6,0.8275862068965517
34,P6,system2,1,0.4827586206896552
35,P6,system2,2,0.6551724137931034
36,P6,system2,3,0.5862068965517241
37,P6,system2,4,0.5517241379310345
38,P6,system2,5,0.5862068965517241
39,P6,system2,6,0.6896551724137931
40,P6,system1,1,0.7419354838709677
41,P7,system1,1,0.7419354838709677
42,P7,system1,2,0.8064516129032258
43,P7,system2,1,0.7586206896551724
44,P8,system2,1,0.6129032258064516
45,P8,system2,2,0.5483870967741935
46,P8,system2,3,0.6774193548387096
47,P8,system1,1,0.5172413793103449
48,P9,system1,1,0.6896551724137931
49,P9,system1,2,0.7241379310344828
50,P9,system1,3,0.7931034482758621
51,P9,system2,1,0.6451612903225806
52,P9,system2,2,0.6451612903225806
53,P9,system2,3,0.7741935483870968
54,P10,system1,1,0.6451612903225806
55,P10,system2,1,0.6551724137931034
56,P10,system2,2,0.7931034482758621
57,P2,system2,1,0.6896551724137931
58,P2,system2,2,0.7586206896551724
59,P2,system1,1,0.8387096774193549
