pid,system_name,label,start_event,end_event,start_time,end_time,delta_sec
P7,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 10:45:47,2025-08-27 10:47:53,126.0
P7,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 10:48:26,2025-08-27 10:50:17,111.0
P7,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 10:50:41,2025-08-27 10:52:06,85.0
P7,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 10:52:17,2025-08-27 10:53:37,80.0
P7,Baseline,Init-Baseline,layout_board.new_box_initiated,baselineboard.node.add.instance,2025-08-27 10:54:10,2025-08-27 10:54:59,49.0
P7,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 11:08:24,2025-08-27 11:09:52,88.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:10:35,2025-08-27 11:12:26,111.0
P7,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-27 11:12:35,2025-08-27 11:14:18,103.0
P7,OOPT,Init-OOPT,class_detail_opened,instance.create_from_class.started,2025-08-27 11:14:37,2025-08-27 11:16:10,93.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:16:26,2025-08-27 11:18:16,110.0
P7,OOPT,Init-OOPT,class_detail_opened,api.generate_scene_graph_to_text.started,2025-08-27 11:18:22,2025-08-27 11:20:42,140.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:20:52,2025-08-27 11:22:17,85.0
P7,OOPT,Init-OOPT,layout_board.new_box_positioned,api.generate_text_to_graph.started,2025-08-27 11:24:55,2025-08-27 11:25:44,49.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:29:20,2025-08-27 11:30:05,45.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:30:14,2025-08-27 11:30:44,30.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:30:54,2025-08-27 11:31:17,23.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_text_to_graph.started,2025-08-27 11:31:33,2025-08-27 11:31:48,15.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:32:11,2025-08-27 11:32:21,10.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:32:42,2025-08-27 11:32:50,8.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:35:24,2025-08-27 11:35:31,7.0
P7,OOPT,Edit-OOPT,instance.edit.started,api.generate_scene_graph_to_text.started,2025-08-27 11:37:39,2025-08-27 11:38:18,39.0
P7,Baseline,Edit-Baseline,baselineboard.node.add.instance,baselineboard.node.edit,2025-08-27 10:54:59,2025-08-27 10:58:24,205.0
P7,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 10:58:24,2025-08-27 10:59:29,65.0
P7,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 10:59:29,2025-08-27 11:02:18,169.0
P7,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 11:02:18,2025-08-27 11:03:27,69.0
P7,Baseline,Edit-Baseline,baselineboard.node.edit,baselineboard.node.edit,2025-08-27 11:03:27,2025-08-27 11:03:39,12.0
