timestamp,event,details
23:59:30,experiment_started,"{'language': 'ko', 'demographic_data': {'age': '25', 'gender': 'female', 'occupation': '대학원생', 'ai_tool_types': ['text', 'image', 'video', 'audio'], 'ai_frequency': 'daily', 'ai_purposes': ['work', 'study'], 'ai_proficiency': '5', 'english_level': 'intermediate', 'programming_duration': '>3', 'programming_languages': ['cpp', 'python', 'matlab'], 'programming_contexts': ['research', 'ml', 'automation'], 'programming_proficiency': '4', 'system_order': 'system2_first'}, 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:01:17,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-30T00:01:17.581Z', 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:01:41,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-30T00:01:41.750Z', 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:01:41,layout_board.new_box_positioned,"{'position': {'x': 66.671875, 'y': 537}, 'screen_position': {'x': 126, 'y': 580}, 'board_type': 'advanced', 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:01:52,api.generate_text_to_graph.started,"{'has_previous': None, 'text_length': 34, 'previous_objects_count': 0, 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:01:54,api.generate_text_to_graph.succeeded,"{'objects_count': 2, 'relationships_count': 1, 'root_object': 'object1', 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:01:59,instance_selected,"{'instance_id': 'instance-837d9423-a5a2-4bc1-8da2-6f0f75c74db7', 'instance_label': 'rabbit', 'is_from_class': False, 'class_id': None, 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:02:03,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-30T00:02:03.394Z', 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:02:04,layout_board.new_box_positioned,"{'position': {'x': 171.671875, 'y': 187}, 'screen_position': {'x': 231, 'y': 230}, 'board_type': 'advanced', 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
00:02:17,api.generate_text_to_graph.started,"{'has_previous': None, 'text_length': 54, 'previous_objects_count': 0, 'session_id': 'c8a11a37-2a2a-4691-84d9-7d4c35c7cc61', 'user_id': 'P5'}"
