type,key,event_time,event
delete_row,,2000-01-01 01:33:49,relationship_node.deleted
class,class-798f7dec-c589-46ad-bf1a-caa91d48c76e,2000-01-01 01:35:41,class.created
delete_row,,2000-01-01 01:39:45,class_deleted
delete_row,,2000-01-01 01:39:45,class.deleted
delete_row,,2000-01-01 04:10:10,instance.deleted
delete_row,,2000-01-01 04:10:14,instance.deleted
instance,461b1d70-0c3b-4512-a60c-57cfc901e2a1,2000-01-01 04:30:06,instance.created_from_detection
instance,bf4759b7-72d5-47db-b1a3-98cdfd7d1c1a,2000-01-01 04:30:06,instance.created_from_detection
delete_row,,2000-01-01 04:30:10,instance.deleted
instance,fd6985d4-b5b5-496b-a4b5-2b65ed91d734,2000-01-01 04:30:12,instance.created_from_detection
delete_row,,2000-01-01 04:30:23,instance.deleted
delete_row,,2000-01-01 04:30:25,instance.deleted
instance,instance-9bbd2d9c-450a-4469-a492-213aa9ba3cd8,2000-01-01 05:34:47,instance.updated.graph
instance,instance-9bbd2d9c-450a-4469-a492-213aa9ba3cd8,2000-01-01 05:40:29,instance.updated.text
instance,instance-9bbd2d9c-450a-4469-a492-213aa9ba3cd8,2000-01-01 05:40:45,instance.updated.text
delete_row,,2000-01-01 05:44:19,relationship_node.deleted
delete_row,,2000-01-01 05:46:59,instance.deleted
class,class-b6448306-b0c9-447c-a6a7-ff1bba09a990,2000-01-01 07:11:40,class.created
class,class-b6448306-b0c9-447c-a6a7-ff1bba09a990,2000-01-01 07:12:15,class.updated
class,class-68768b8e-d462-43d4-b29a-1bb6ced413fd,2000-01-01 07:13:14,class.created
class,class-68768b8e-d462-43d4-b29a-1bb6ced413fd,2000-01-01 07:15:26,class.updated
class,class-f3a1eaea-835f-43b2-a8d0-fb6916a68568,2000-01-01 07:18:19,class.created
delete_row,,2000-01-01 07:22:23,class.deleted
delete_row,,2000-01-01 07:22:23,class_deleted
delete_row,,2000-01-01 07:22:25,class.deleted
delete_row,,2000-01-01 07:22:25,class_deleted
delete_row,,2000-01-01 07:22:27,class.deleted
delete_row,,2000-01-01 07:22:27,class_deleted
instance,df5bfd53-ff72-42a9-8252-39b4b47f2a58,2000-01-01 09:09:03,instance.created_from_detection
instance,a7dd8989-4b78-4b6b-8e81-9701cffcfc24,2000-01-01 09:09:19,instance.created_from_detection
delete_row,,2000-01-01 09:09:24,instance.deleted
delete_row,,2000-01-01 09:09:39,instance.deleted
instance,da49aa2c-1957-49bc-8b85-ab607054aae2,2000-01-01 09:10:05,instance.created_from_detection
delete_row,,2000-01-01 09:10:19,instance.deleted
delete_row,,2000-01-01 11:27:01,relationship_node.deleted
delete_row,,2000-01-01 11:59:58,instance.deleted
instance,a1e6a0db-c79d-4cbd-b050-051d54cc4e24,2000-01-01 12:04:44,instance.created_from_detection
delete_row,,2000-01-01 12:04:56,instance.deleted
instance,4a3ed75a-50d4-41bf-b712-8779c2b8fece,2000-01-01 12:05:29,instance.created_from_detection
delete_row,,2000-01-01 12:05:35,instance.deleted
instance,instance-77007cb6-1e0b-47a8-823b-8b94ce3b9f35,2000-01-01 13:47:07,instance.created_from_class
instance,instance-77007cb6-1e0b-47a8-823b-8b94ce3b9f35,2000-01-01 13:50:35,instance.updated.graph
instance,instance-77007cb6-1e0b-47a8-823b-8b94ce3b9f35,2000-01-01 13:50:45,instance.updated.graph
instance,instance-77007cb6-1e0b-47a8-823b-8b94ce3b9f35,2000-01-01 13:51:01,instance.updated.graph
instance,instance-77007cb6-1e0b-47a8-823b-8b94ce3b9f35,2000-01-01 13:51:22,instance.updated.graph
instance,instance-77007cb6-1e0b-47a8-823b-8b94ce3b9f35,2000-01-01 13:51:32,instance.updated.graph
delete_row,,2000-01-01 13:52:03,instance.deleted
