,timestamp,id,event,details,id_group
0,2000-01-01 08:33:16,,instance.created_from_text,"{'position': {'x': 285.765625, 'y': 272}, 'screen_position': {'x': 347, 'y': 295}, 'board_type': 'advanced', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
1,2000-01-01 08:34:44,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,class.create.started,"{'instance_id': 'instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5', 'instance_label': 'rabbit', 'has_scene_graph': True, 'object_count': 3, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
2,2000-01-01 08:34:45,class-195fd647-2a91-4524-b4e2-7f050ac7dda8,class.created,"{'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'class_name': 'rabbit Class', 'placeholder_count': 3, 'created_from': 'rabbit', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
3,2000-01-01 08:34:48,class-195fd647-2a91-4524-b4e2-7f050ac7dda8,class_detail_opened,"{'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'class_name': 'rabbit Class', 'instance_count': 1, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
4,2000-01-01 08:34:51,class-195fd647-2a91-4524-b4e2-7f050ac7dda8,class_detail_opened,"{'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'class_name': 'rabbit Class', 'instance_count': 1, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
5,2000-01-01 08:35:09,class-195fd647-2a91-4524-b4e2-7f050ac7dda8,instance.create_from_class.started,"{'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'class_name': 'rabbit Class', 'value_count': 2, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
6,2000-01-01 08:35:11,instance-a407e81f-4d34-4660-81b4-316c2d2366d7,instance.created_from_class,"{'instance_id': 'instance-a407e81f-4d34-4660-81b4-316c2d2366d7', 'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'instance_label': 'Rabbit', 'has_text_description': True, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
7,2000-01-01 08:35:48,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance.edit.started,"{'instance_id': 'instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5', 'instance_label': 'rabbit', 'edit_type': 'text', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
8,2000-01-01 08:36:32,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance.updated,"{'instance_id': 'instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5', 'instance_label': 'rabbit', 'text_changed': True, 'graph_changed': False, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
9,2000-01-01 08:36:45,,instance.created_from_text,"{'position': {'x': 216.765625, 'y': 283}, 'screen_position': {'x': 278, 'y': 306}, 'board_type': 'advanced', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
10,2000-01-01 08:39:10,,instance.created_from_text,"{'position': {'x': 63.765625, 'y': 66}, 'screen_position': {'x': 125, 'y': 89}, 'board_type': 'advanced', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}",1
