type,key,event_time,event
delete_row,,2000-01-01 00:02:21,instance.deleted
delete_row,,2000-01-01 00:02:24,instance.deleted
instance,instance-edbd3103-cac2-4580-84fc-14fac7d09d76,2000-01-01 00:03:02,instance.save
instance,instance-edbd3103-cac2-4580-84fc-14fac7d09d76,2000-01-01 00:03:07,instance.updated.text
delete_row,,2000-01-01 00:05:13,instance.deleted
instance,instance-22c981cd-8c2b-408d-bda2-1c9405ff58ea,2000-01-01 00:06:32,instance.created_from_class
instance,instance-fbda95aa-4fc1-4fbf-98ab-daff0a0ff624,2000-01-01 00:07:37,instance.created_from_class
delete_row,,2000-01-01 00:07:49,instance.deleted
instance,instance-86201c3e-8414-46e1-bea4-35f65219300f,2000-01-01 00:08:02,instance.created_from_class
instance,instance-dbc6d96b-af6c-4ded-8885-a036aa71e950,2000-01-01 00:08:08,instance.created_from_class
instance,instance-c268e2a5-e7e0-44c4-8c33-ed6db2a7ed0a,2000-01-01 00:08:12,instance.created_from_class
instance,instance-1d788a22-c6f7-4da2-9d0a-7484f3c34c60,2000-01-01 00:08:15,instance.created_from_class
instance,instance-c268e2a5-e7e0-44c4-8c33-ed6db2a7ed0a,2000-01-01 00:09:49,instance.save
instance,instance-c268e2a5-e7e0-44c4-8c33-ed6db2a7ed0a,2000-01-01 00:09:54,instance.save
instance,instance-c268e2a5-e7e0-44c4-8c33-ed6db2a7ed0a,2000-01-01 00:09:55,instance.updated.graph
instance,instance-dbc6d96b-af6c-4ded-8885-a036aa71e950,2000-01-01 00:10:11,instance.save
instance,instance-dbc6d96b-af6c-4ded-8885-a036aa71e950,2000-01-01 00:10:15,instance.updated.text
instance,instance-22c981cd-8c2b-408d-bda2-1c9405ff58ea,2000-01-01 00:10:35,instance.save
instance,instance-22c981cd-8c2b-408d-bda2-1c9405ff58ea,2000-01-01 00:10:39,instance.updated.text
delete_row,,2000-01-01 00:13:24,instance.deleted
delete_row,,2000-01-01 00:13:32,instance.deleted
delete_row,,2000-01-01 00:15:00,relationship_node.deleted
delete_row,,2000-01-01 00:16:42,instance.deleted
delete_row,,2000-01-01 00:16:46,instance.deleted
delete_row,,2000-01-01 00:16:58,instance.deleted
delete_row,,2000-01-01 00:17:16,relationship_node.deleted
delete_row,,2000-01-01 00:18:46,relationship_node.deleted
instance,instance-b13ca059-6a7d-4f83-bbc1-96e28e0849c9,2000-01-01 00:19:01,instance.save
instance,instance-b13ca059-6a7d-4f83-bbc1-96e28e0849c9,2000-01-01 00:19:02,instance.updated.graph
delete_row,,2000-01-01 00:19:13,relationship_node.deleted
delete_row,,2000-01-01 00:20:48,relationship_node.deleted
delete_row,,2000-01-01 00:21:23,relationship_node.deleted
delete_row,,2000-01-01 00:22:22,instance.deleted
delete_row,,2000-01-01 00:22:29,instance.deleted
delete_row,,2000-01-01 00:22:37,instance.deleted
delete_row,,2000-01-01 00:22:45,instance.deleted
delete_row,,2000-01-01 00:24:22,instance.deleted
delete_row,,2000-01-01 00:25:36,instance.deleted
delete_row,,2000-01-01 00:36:38,relationship_node.deleted
delete_row,,2000-01-01 00:36:53,relationship_node.deleted
delete_row,,2000-01-01 00:36:54,relationship_node.deleted
delete_row,,2000-01-01 00:37:06,relationship_node.deleted
relationship,instance-0433a57e-4192-42f4-a52b-d3b8d058810e-instance-22c981cd-8c2b-408d-bda2-1c9405ff58ea,2000-01-01 00:37:52,relationship_node.edited
delete_row,,2000-01-01 00:41:49,relationship_node.deleted
delete_row,,2000-01-01 00:41:51,relationship_node.deleted
delete_row,,2000-01-01 00:41:53,relationship_node.deleted
delete_row,,2000-01-01 00:41:59,relationship_node.deleted
delete_row,,2000-01-01 00:42:07,instance.deleted
instance,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,2000-01-01 01:40:32,instance.updated.graph
instance,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,2000-01-01 01:43:27,instance.updated.graph
instance,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,2000-01-01 01:45:17,instance.updated.text
instance,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,2000-01-01 01:45:26,instance.updated.graph
delete_row,,2000-01-01 01:47:11,instance.deleted
delete_row,,2000-01-01 01:47:29,instance.deleted
delete_row,,2000-01-01 01:50:55,relationship_node.deleted
delete_row,,2000-01-01 01:52:08,relationship_node.deleted
delete_row,,2000-01-01 01:53:23,instance.deleted
instance,instance-9bbd2d9c-450a-4469-a492-213aa9ba3cd8,2000-01-01 05:34:47,instance.updated.graph
instance,instance-9bbd2d9c-450a-4469-a492-213aa9ba3cd8,2000-01-01 05:40:29,instance.updated.text
instance,instance-9bbd2d9c-450a-4469-a492-213aa9ba3cd8,2000-01-01 05:40:45,instance.updated.text
delete_row,,2000-01-01 05:44:19,relationship_node.deleted
delete_row,,2000-01-01 05:46:59,instance.deleted
class,class-412add9c-ec9b-4f19-8022-0757952f86ba,2000-01-01 06:20:09,class.created
class,class-412add9c-ec9b-4f19-8022-0757952f86ba,2000-01-01 06:20:21,class.updated
instance,instance-c02c7781-54d0-4a6f-9e93-d917b97bc147,2000-01-01 06:20:39,instance.created_from_class
class,class-412add9c-ec9b-4f19-8022-0757952f86ba,2000-01-01 06:21:58,class.updated
instance,dbf6ebe2-1674-4cdf-8d5e-f83a1c78a3bc,2000-01-01 06:25:39,instance.created_from_detection
delete_row,,2000-01-01 06:25:56,instance.deleted
instance,instance-bc576742-63dd-47ed-a242-06a9b1b04f4c,2000-01-01 06:27:17,instance.updated.graph
instance,instance-c02c7781-54d0-4a6f-9e93-d917b97bc147,2000-01-01 06:29:00,instance.updated.graph
delete_row,,2000-01-01 06:31:41,relationship_node.deleted
instance,instance-c02c7781-54d0-4a6f-9e93-d917b97bc147,2000-01-01 06:34:57,instance.updated.graph
instance,instance-c02c7781-54d0-4a6f-9e93-d917b97bc147,2000-01-01 06:36:34,instance.updated.text
delete_row,,2000-01-01 06:38:45,instance.deleted
instance,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,2000-01-01 06:39:59,instance.updated.text
delete_row,,2000-01-01 06:40:06,instance.deleted
delete_row,,2000-01-01 06:40:34,relationship_node.deleted
instance,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,2000-01-01 06:42:18,instance.updated.text
instance,instance-609046ce-c5d2-4ea6-96e6-33e893861034,2000-01-01 06:43:57,instance.updated.text
delete_row,,2000-01-01 06:44:02,instance.deleted
instance,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,2000-01-01 06:48:18,instance.updated.text
delete_row,,2000-01-01 06:49:25,instance.deleted
delete_row,,2000-01-01 06:50:53,class_deleted
delete_row,,2000-01-01 06:50:53,class.deleted
class,class-48ecf44d-906c-4baf-9e2d-e77a381c9537,2000-01-01 06:50:57,class.created
delete_row,,2000-01-01 06:51:52,class_deleted
delete_row,,2000-01-01 06:51:52,class.deleted
