timestamp,event,details
08:30:42,experiment_started,"{'language': 'ko', 'demographic_data': {'age': '21', 'gender': 'female', 'occupation': '대학생', 'ai_tool_types': ['text', 'audio', 'image', 'video'], 'ai_frequency': 'monthly', 'ai_purposes': ['creative', 'study'], 'ai_proficiency': '5', 'english_level': 'intermediate', 'programming_duration': '1-3', 'programming_languages': ['javascript', 'python', 'java'], 'programming_contexts': ['web'], 'programming_proficiency': '2', 'system_order': 'system2_first'}, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:33:13,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-22T08:33:11.753Z', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:33:16,layout_board.new_box_positioned,"{'position': {'x': 285.765625, 'y': 272}, 'screen_position': {'x': 347, 'y': 295}, 'board_type': 'advanced', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:25,api.generate_text_to_graph.started,"{'has_previous': None, 'text_length': 45, 'previous_objects_count': 0, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:28,api.generate_text_to_graph.succeeded,"{'objects_count': 3, 'relationships_count': 2, 'root_object': 'object1', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:41,instance_selected,"{'instance_id': 'instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5', 'instance_label': 'rabbit', 'is_from_class': False, 'class_id': None, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:41,class_library_toggle,"{'expanded': True, 'class_count': 0, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:44,class.create.started,"{'instance_id': 'instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5', 'instance_label': 'rabbit', 'has_scene_graph': True, 'object_count': 3, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:44,api.generate_placeholders.started,"{'has_objects': True, 'has_relationships': True, 'object_count': 3, 'relationship_count': 2, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:45,class.created,"{'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'class_name': 'rabbit Class', 'placeholder_count': 3, 'created_from': 'rabbit', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:45,api.generate_placeholders.succeeded,"{'object_count': 3, 'unique_value_count': 6, 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
08:34:45,instance_selected,"{'instance_id': 'instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5', 'instance_label': 'rabbit', 'is_from_class': True, 'class_id': 'class-195fd647-2a91-4524-b4e2-7f050ac7dda8', 'session_id': 'e5466056-3354-4623-8ea1-e8a18af6d601', 'user_id': 'P1'}"
