timestamp,event,details
01:31:45,experiment_started,"{'language': 'ko', 'demographic_data': {'age': '25', 'gender': 'male', 'occupation': '대학생', 'ai_tool_types': ['text', 'image'], 'ai_frequency': 'daily', 'ai_purposes': ['study', 'work'], 'ai_proficiency': '7', 'english_level': 'fluent', 'programming_duration': '>3', 'programming_languages': ['python', 'cpp', 'c', 'swift'], 'programming_contexts': ['web', 'data', 'research', 'games', 'mobile', 'ml', 'automation'], 'programming_proficiency': '7', 'system_order': 'system2_first'}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:35:14,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-23T01:35:14.387Z', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:35:15,layout_board.new_box_positioned,"{'position': {'x': 41.3515625, 'y': 75}, 'screen_position': {'x': 103, 'y': 118}, 'board_type': 'advanced', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:36:05,api.generate_text_to_graph.started,"{'has_previous': None, 'text_length': 38, 'previous_objects_count': 0, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:36:07,api.generate_text_to_graph.succeeded,"{'objects_count': 2, 'relationships_count': 1, 'root_object': 'object1', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:36:25,api.generate_image.started,"{'sentence_count': 1, 'box_count': 1, 'has_global_caption': False, 'has_required_keywords': False, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:36:48,prompt_saved,{'path': 'output/P2/2025-08-23_01-36-48/prompt.json'}
01:36:48,object_detection_integrated,{'objects_count': 0}
01:36:48,api.generate_image.succeeded,"{'global_caption': 'a scene featuring a small village in the forest', 'region_count': 1, 'has_image': True, 'detected_objects_count': 0, 'image_path': 'output/P2/2025-08-23_01-36-48/image.png', 'image_with_layout_path': 'output/P2/2025-08-23_01-36-48/image_with_layout.png', 'timestamp_dir': 'output/P2/2025-08-23_01-36-48', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:36:48,object_detection_integrated,"{'objectsCount': 0, 'objects': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:36:56,layout.node.moved,"{'nodeId': 'instance-59e89abd-6d5a-4b78-8601-646ee33699d8-resizable', 'newPos': {'x': 14.3515625, 'y': 18}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:37:17,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-23T01:37:17.453Z', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:37:18,layout_board.new_box_positioned,"{'position': {'x': 123.9453125, 'y': 216}, 'screen_position': {'x': 181, 'y': 259}, 'board_type': 'advanced', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:38:15,layout_board.new_box_initiated,"{'board_type': 'advanced', 'timestamp': '2025-08-23T01:38:15.747Z', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:38:16,layout_board.new_box_positioned,"{'position': {'x': 147.9453125, 'y': 192}, 'screen_position': {'x': 205, 'y': 235}, 'board_type': 'advanced', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:38:35,api.generate_text_to_graph.started,"{'has_previous': None, 'text_length': 74, 'previous_objects_count': 0, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:38:40,api.generate_text_to_graph.succeeded,"{'objects_count': 5, 'relationships_count': 5, 'root_object': 'object1', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:38:58,instance_selected,"{'instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'instance_label': 'rabbit', 'is_from_class': False, 'class_id': None, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:39:05,instance.edit.started,"{'instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'instance_label': 'rabbit', 'edit_type': 'graph', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:39:24,instance.edit.started,"{'instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'instance_label': 'rabbit', 'edit_type': 'graph', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:40:00,relationship_node.deleted,"{'relationship_id': 'object3-object4', 'source_object_id': 'object3', 'target_object_id': 'object4', 'relation': 'holds', 'source_object_name': 'rabbit', 'target_object_name': 'balloon', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:40:07,object_node.edit.started,"{'object_id': 'object6', 'object_name': 'new object', 'edit_mode': 'name', 'is_class_mode': False, 'parent_instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:40:10,object_node.edit.cancelled,"{'object_id': 'object6', 'object_name': 'new object', 'edit_mode': 'name', 'is_class_mode': False, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
01:40:10,object_node.edit.saved,"{'object_id': 'object6', 'object_name': 'new object', 'edit_mode': 'name', 'new_value': 'balloon', 'is_class_mode': False, 'parent_instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}"
