user_id,video_time,abs_log_ts,src_label,dst_label,relation,src_instance_id,dst_instance_id,note
P1,4:41,2025-08-22T08:37:18.620253,rabbit,balloon,cuddling,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance-ee18810a-dc3c-4744-9f9b-a6e15d8f7999,
P1,4:54,2025-08-22T08:37:31.620253,Rabbit,balloon,talking to,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance-ee18810a-dc3c-4744-9f9b-a6e15d8f7999,
P1,27:06,2025-08-22T08:59:43.620253,Baby rabbit,rabbit,talking to,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,
P1,27:16,2025-08-22T08:59:53.620253,Baby rabbit,rabbit,talking to,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,
P1,27:27,2025-08-22T09:00:04.620253,rabbit,Baby rabbit,watching,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,
P1,37:44,2025-08-22T09:10:21.620253,Baby rabbit,tree,looking/pointing at,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,instance-0108ee6e-4717-4496-acc6-27106afa83f1,
P1,38:40,2025-08-22T09:11:17.620253,Baby rabbit,tree,looking up,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,instance-0108ee6e-4717-4496-acc6-27106afa83f1,
P1,39:13,2025-08-22T09:11:50.620253,rabbit,tree,looking up,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance-0108ee6e-4717-4496-acc6-27106afa83f1,
P1,39:16,2025-08-22T09:11:53.620253,Balloon,tree,stuck in,instance-ee18810a-dc3c-4744-9f9b-a6e15d8f7999,instance-0108ee6e-4717-4496-acc6-27106afa83f1,
P1,44:47,2025-08-22T09:17:24.620253,rabbit,Balloon,grabbing,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance-ee18810a-dc3c-4744-9f9b-a6e15d8f7999,
P1,45:33,2025-08-22T09:18:10.620253,rabbit,Baby rabbit,hugging together,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,
P1,45:43,2025-08-22T09:18:20.620253,Baby rabbit,Baby rabbit,hugging together,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,
P1,45:48,2025-08-22T09:18:25.620253,Baby rabbit,rabbit,hugging together,instance-5ab7832b-69c5-42ea-8ed3-bde6e5761037,instance-b97d172f-0052-4bf6-b087-4fe1e6af7dd5,
P3,34:21,2025-08-23T06:30:19.813391,Rabbit,balloon,giving,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,
P3,34:28,2025-08-23T06:30:26.813391,rabbit,balloon,receiving,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,
P3,44:40,2025-08-23T06:40:38.813391,rabbit,balloon,looking up,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,instance-a2ba25a1-015c-43f3-9223-a565c3cb83d2,
P3,57:21,2025-08-23T06:53:19.813391,Rabbit,rabbit,console,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,instance-258e1650-a691-4328-9fb0-3bcf7775d2b6,
