participant,system_type,target_info,rating,iter_number,src_image,dst_image,src_prompt,dst_prompt
P1,system1,target2,6.0,1,/Users/jeongin/oopt/output/P1/2025-08-24_11-33-19/image.png,output_final/P1_system1_target2_6.0_1.png,/Users/jeongin/oopt/output/P1/2025-08-24_11-33-19/prompt.json,output_final/prompt/P1_system1_target2_6.0_1.json
P1,system2,target1,6.0,2,/Users/jeongin/oopt/output/P1/2025-08-24_12-02-52/image.png,output_final/P1_system2_target1_6.0_2.png,/Users/jeongin/oopt/output/P1/2025-08-24_12-02-52/prompt.json,output_final/prompt/P1_system2_target1_6.0_2.json
P10,system1,target2,6.0,1,/Users/jeongin/oopt/output/P10/2025-08-21_09-44-58/image.png,output_final/P10_system1_target2_6.0_1.png,/Users/jeongin/oopt/output/P10/2025-08-21_09-44-58/prompt.json,output_final/prompt/P10_system1_target2_6.0_1.json
P10,system2,target1,5.0,1,/Users/jeongin/oopt/output/P10/2025-08-21_10-05-34/image.png,output_final/P10_system2_target1_5.0_1.png,/Users/jeongin/oopt/output/P10/2025-08-21_10-05-34/prompt.json,output_final/prompt/P10_system2_target1_5.0_1.json
P11,system1,target1,3.0,4,/Users/jeongin/oopt/output/P11/2025-08-23_09-41-28/image.png,output_final/P11_system1_target1_3.0_4.png,/Users/jeongin/oopt/output/P11/2025-08-23_09-41-28/prompt.json,output_final/prompt/P11_system1_target1_3.0_4.json
P11,system2,target2,6.0,2,/Users/jeongin/oopt/output/P11/2025-08-23_09-10-57/image.png,output_final/P11_system2_target2_6.0_2.png,/Users/jeongin/oopt/output/P11/2025-08-23_09-10-57/prompt.json,output_final/prompt/P11_system2_target2_6.0_2.json
P12,system1,target2,3.0,2,/Users/jeongin/oopt/output/P12/2025-08-22_02-19-59/image.png,output_final/P12_system1_target2_3.0_2.png,/Users/jeongin/oopt/output/P12/2025-08-22_02-19-59/prompt.json,output_final/prompt/P12_system1_target2_3.0_2.json
P12,system2,target1,4.0,2,/Users/jeongin/oopt/output/P12/2025-08-22_01-59-43/image.png,output_final/P12_system2_target1_4.0_2.png,/Users/jeongin/oopt/output/P12/2025-08-22_01-59-43/prompt.json,output_final/prompt/P12_system2_target1_4.0_2.json
P2,system1,target2,5.0,3,/Users/jeongin/oopt/output/P2/2025-08-14_01-46-45/image.png,output_final/P2_system1_target2_5.0_3.png,/Users/jeongin/oopt/output/P2/2025-08-14_01-46-45/prompt.json,output_final/prompt/P2_system1_target2_5.0_3.json
P2,system2,target1,4.0,4,/Users/jeongin/oopt/output/P2/2025-08-14_01-34-21/image.png,output_final/P2_system2_target1_4.0_4.png,/Users/jeongin/oopt/output/P2/2025-08-14_01-34-21/prompt.json,output_final/prompt/P2_system2_target1_4.0_4.json
P3,system1,target1,4.0,3,/Users/jeongin/oopt/output/P3/2025-08-14_04-04-40/image.png,output_final/P3_system1_target1_4.0_3.png,/Users/jeongin/oopt/output/P3/2025-08-14_04-04-40/prompt.json,output_final/prompt/P3_system1_target1_4.0_3.json
P3,system2,target2,6.0,1,/Users/jeongin/oopt/output/P3/2025-08-14_04-22-01/image.png,output_final/P3_system2_target2_6.0_1.png,/Users/jeongin/oopt/output/P3/2025-08-14_04-22-01/prompt.json,output_final/prompt/P3_system2_target2_6.0_1.json
P4,system1,target1,5.0,3,/Users/jeongin/oopt/output/P4/2025-08-14_14-00-09/image.png,output_final/P4_system1_target1_5.0_3.png,/Users/jeongin/oopt/output/P4/2025-08-14_14-00-09/prompt.json,output_final/prompt/P4_system1_target1_5.0_3.json
P4,system2,target2,5.0,2,/Users/jeongin/oopt/output/P4/2025-08-14_14-37-32/image.png,output_final/P4_system2_target2_5.0_2.png,/Users/jeongin/oopt/output/P4/2025-08-14_14-37-32/prompt.json,output_final/prompt/P4_system2_target2_5.0_2.json
P5,system1,target1,7.0,6,/Users/jeongin/oopt/output/P5/2025-08-19_07-56-31/image.png,output_final/P5_system1_target1_7.0_6.png,/Users/jeongin/oopt/output/P5/2025-08-19_07-56-31/prompt.json,output_final/prompt/P5_system1_target1_7.0_6.json
P5,system2,target2,7.0,4,/Users/jeongin/oopt/output/P5/2025-08-19_07-22-29/image.png,output_final/P5_system2_target2_7.0_4.png,/Users/jeongin/oopt/output/P5/2025-08-19_07-22-29/prompt.json,output_final/prompt/P5_system2_target2_7.0_4.json
P6,system1,target2,4.0,3,/Users/jeongin/oopt/output/P6/2025-08-20_05-57-30/image.png,output_final/P6_system1_target2_4.0_3.png,/Users/jeongin/oopt/output/P6/2025-08-20_05-57-30/prompt.json,output_final/prompt/P6_system1_target2_4.0_3.json
P6,system2,target1,6.0,6,/Users/jeongin/oopt/output/P6/2025-08-20_05-48-52/image.png,output_final/P6_system2_target1_6.0_6.png,/Users/jeongin/oopt/output/P6/2025-08-20_05-48-52/prompt.json,output_final/prompt/P6_system2_target1_6.0_6.json
P7,system1,target2,6.0,3,/Users/jeongin/oopt/output/P7/2025-08-20_11-04-08/image.png,output_final/P7_system1_target2_6.0_3.png,/Users/jeongin/oopt/output/P7/2025-08-20_11-04-08/prompt.json,output_final/prompt/P7_system1_target2_6.0_3.json
P7,system2,target1,7.0,2,/Users/jeongin/oopt/output/P7/2025-08-20_11-33-21/image.png,output_final/P7_system2_target1_7.0_2.png,/Users/jeongin/oopt/output/P7/2025-08-20_11-33-21/prompt.json,output_final/prompt/P7_system2_target1_7.0_2.json
P8,system1,target1,4.0,1,/Users/jeongin/oopt/output/P8/2025-08-21_02-50-29/image.png,output_final/P8_system1_target1_4.0_1.png,/Users/jeongin/oopt/output/P8/2025-08-21_02-50-29/prompt.json,output_final/prompt/P8_system1_target1_4.0_1.json
P8,system2,target2,3.0,1,/Users/jeongin/oopt/output/P8/2025-08-21_02-17-11/image.png,output_final/P8_system2_target2_3.0_1.png,/Users/jeongin/oopt/output/P8/2025-08-21_02-17-11/prompt.json,output_final/prompt/P8_system2_target2_3.0_1.json
P9,system1,target1,5.0,4,/Users/jeongin/oopt/output/P9/2025-08-22_13-39-55/image.png,output_final/P9_system1_target1_5.0_4.png,/Users/jeongin/oopt/output/P9/2025-08-22_13-39-55/prompt.json,output_final/prompt/P9_system1_target1_5.0_4.json
P9,system2,target2,6.0,3,/Users/jeongin/oopt/output/P9/2025-08-22_14-08-38/image.png,output_final/P9_system2_target2_6.0_3.png,/Users/jeongin/oopt/output/P9/2025-08-22_14-08-38/prompt.json,output_final/prompt/P9_system2_target2_6.0_3.json
