participant,system,image_path,rating,ssim_score
P10,system1,/Users/jeongin/oopt/output/p10/2025-08-21_09-44-58/image.png,6.0,0.3568770664840416
P10,system2,/Users/jeongin/oopt/output/p10/2025-08-21_10-05-34/image.png,5.0,0.3930250844277448
P11,system1,/Users/jeongin/oopt/output/P11/2025-08-23_09-41-28/image.png,3.0,0.439772448596466
P11,system2,/Users/jeongin/oopt/output/P11/2025-08-23_09-10-57/image.png,6.0,0.3816064220443096
P12,system1,/Users/jeongin/oopt/output/P12/2025-08-22_02-15-34/image.png,3.0,0.3581601090619219
P12,system2,/Users/jeongin/oopt/output/P12/2025-08-22_01-59-43/image.png,4.0,0.3704819820056035
P2,system1,/Users/jeongin/oopt/output/p2/2025-08-14_01-41-53/image.png,5.0,0.2504390902297789
P2,system2,/Users/jeongin/oopt/output/p2/2025-08-14_01-29-33/image.png,4.0,0.3230482576741728
P3,system1,/Users/jeongin/oopt/output/P3/2025-08-14_03-52-43/image.png,4.0,0.3675465657969529
P3,system2,/Users/jeongin/oopt/output/P3/2025-08-14_04-22-01/image.png,6.0,0.4184951857049056
P4,system1,/Users/jeongin/oopt/output/P4/2025-08-14_14-00-09/image.png,5.0,0.3541498333908715
P4,system2,/Users/jeongin/oopt/output/P4/2025-08-14_14-37-32/image.png,5.0,0.3711286448063812
P5,system1,/Users/jeongin/oopt/output/P5/2025-08-19_07-56-31/image.png,7.0,0.3521885615877413
P5,system2,/Users/jeongin/oopt/output/P5/2025-08-19_07-22-29/image.png,7.0,0.4273093834712495
P6,system1,/Users/jeongin/oopt/output/P6/2025-08-20_05-55-41/image.png,4.0,0.3840114305335992
P6,system2,/Users/jeongin/oopt/output/P6/2025-08-20_05-45-00/image.png,6.0,0.4214484047924646
P7,system1,/Users/jeongin/oopt/output/P7/2025-08-20_10-56-07/image.png,6.0,0.3267089320576168
P7,system2,/Users/jeongin/oopt/output/P7/2025-08-20_11-33-21/image.png,7.0,0.2478856224225679
P8,system1,/Users/jeongin/oopt/output/P8/2025-08-21_02-50-29/image.png,4.0,0.3541632822989591
P8,system2,/Users/jeongin/oopt/output/P8/2025-08-21_02-17-11/image.png,3.0,0.3561216760684991
P9,system1,/Users/jeongin/oopt/output/P9/2025-08-22_13-37-42/image.png,5.0,0.3919722447190235
P9,system2,/Users/jeongin/oopt/output/P9/2025-08-22_14-08-38/image.png,6.0,0.3827351936864529
