participant,system,image_path,target_image_id,rating,total,correct,accuracy
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,target2,6.0,31,24,0.7741935483870968
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,target2,4.0,31,17,0.5483870967741935
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,target2,5.0,31,22,0.7096774193548387
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,target1,3.0,29,19,0.6551724137931034
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,target1,6.0,29,24,0.8275862068965517
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,target1,4.0,29,24,0.8275862068965517
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,target1,4.0,29,22,0.7586206896551724
P1,system2,./output/P1/2025-08-24_12-10-24/image.png,target1,4.0,29,23,0.7931034482758621
P10,system1,./output/P10/2025-08-21_09-44-58/image.png,target2,6.0,31,20,0.6451612903225806
P10,system1,./output/P10/2025-08-21_09-47-50/image.png,target2,5.0,31,16,0.5161290322580645
P10,system2,./output/P10/2025-08-21_10-05-34/image.png,target1,5.0,29,19,0.6551724137931034
P10,system2,./output/P10/2025-08-21_10-08-07/image.png,target1,4.0,29,23,0.7931034482758621
P10,system2,./output/P10/2025-08-21_10-10-09/image.png,target1,4.0,29,21,0.7241379310344828
P11,system1,./output/P11/2025-08-23_09-29-27/image.png,target1,2.0,29,22,0.7586206896551724
P11,system1,./output/P11/2025-08-23_09-33-03/image.png,target1,1.0,29,25,0.8620689655172413
P11,system1,./output/P11/2025-08-23_09-36-41/image.png,target1,1.0,29,26,0.896551724137931
P11,system1,./output/P11/2025-08-23_09-41-28/image.png,target1,3.0,29,23,0.7931034482758621
P11,system2,./output/P11/2025-08-23_09-06-01/image.png,target2,5.0,31,21,0.6774193548387096
P11,system2,./output/P11/2025-08-23_09-10-57/image.png,target2,6.0,31,22,0.7096774193548387
P11,system2,./output/P11/2025-08-23_09-13-36/image.png,target2,1.0,31,24,0.7741935483870968
