participant,system,target_image_id,n_images,n_questions,n_scored,accuracy,object_n,object_acc,attribute_n,attribute_acc,relation_n,relation_acc
P1,system1,target2,3.0,93.0,93.0,0.6774193548387096,15.0,0.7333333333333333,45.0,0.6222222222222222,33.0,0.7272727272727273
P1,system2,target1,5.0,145.0,145.0,0.7724137931034483,25.0,0.96,75.0,0.7866666666666666,45.0,0.6444444444444445
P10,system1,target2,2.0,62.0,62.0,0.5806451612903226,10.0,0.4,30.0,0.6,22.0,0.6363636363636364
P10,system2,target1,3.0,87.0,87.0,0.7241379310344828,15.0,1.0,45.0,0.6888888888888889,27.0,0.6296296296296297
P11,system1,target1,4.0,116.0,116.0,0.8275862068965517,20.0,1.0,60.0,0.9,36.0,0.6111111111111112
P11,system2,target2,4.0,124.0,124.0,0.7096774193548387,20.0,0.85,60.0,0.65,44.0,0.7272727272727273
P12,system1,target2,2.0,62.0,62.0,0.5645161290322581,10.0,0.6,30.0,0.4666666666666667,22.0,0.6818181818181818
P12,system2,target1,2.0,58.0,58.0,0.7068965517241379,10.0,0.9,30.0,0.6666666666666666,18.0,0.6666666666666666
P2,system1,target2,3.0,93.0,93.0,0.7849462365591398,15.0,0.9333333333333333,45.0,0.7333333333333333,33.0,0.7878787878787878
P2,system2,target1,4.0,116.0,116.0,0.7241379310344828,20.0,1.0,60.0,0.6166666666666667,36.0,0.75
P3,system1,target1,3.0,87.0,87.0,0.6896551724137931,15.0,0.9333333333333333,45.0,0.6222222222222222,27.0,0.6666666666666666
P3,system2,target2,3.0,93.0,93.0,0.7311827956989247,15.0,0.8,45.0,0.6888888888888889,33.0,0.7575757575757576
P4,system1,target1,3.0,87.0,87.0,0.7126436781609196,15.0,0.8666666666666667,45.0,0.6,27.0,0.8148148148148148
P4,system2,target2,2.0,62.0,62.0,0.7419354838709677,10.0,0.9,30.0,0.8,22.0,0.5909090909090909
P5,system1,target1,6.0,174.0,174.0,0.4827586206896552,30.0,0.5666666666666667,90.0,0.5333333333333333,54.0,0.35185185185185186
P5,system2,target2,8.0,248.0,248.0,0.29435483870967744,40.0,0.25,120.0,0.375,88.0,0.20454545454545456
P6,system1,target2,3.0,93.0,93.0,0.7311827956989247,15.0,0.8,45.0,0.6,33.0,0.8787878787878788
P6,system2,target1,6.0,174.0,174.0,0.5919540229885057,30.0,0.6666666666666666,90.0,0.5333333333333333,54.0,0.6481481481481481
P7,system1,target2,3.0,93.0,93.0,0.7741935483870968,15.0,1.0,45.0,0.6888888888888889,33.0,0.7878787878787878
P7,system2,target1,4.0,116.0,116.0,0.6982758620689655,20.0,0.85,60.0,0.7,36.0,0.6111111111111112
P8,system1,target1,1.0,29.0,29.0,0.5172413793103449,5.0,0.8,15.0,0.5333333333333333,9.0,0.3333333333333333
P8,system2,target2,3.0,93.0,93.0,0.6129032258064516,15.0,0.6,45.0,0.5555555555555556,33.0,0.696969696969697
P9,system1,target1,4.0,116.0,116.0,0.7327586206896551,20.0,1.0,60.0,0.8666666666666667,36.0,0.3611111111111111
P9,system2,target2,3.0,93.0,93.0,0.6881720430107527,15.0,0.8666666666666667,45.0,0.6444444444444445,33.0,0.6666666666666666
